t[s],U_A,U_B
-9.70618292,0.18066960,0.76143680
-9.70484892,0.18066960,0.76448860
-9.70351492,0.18066960,0.77059240
-9.70218092,0.18066960,0.77211830
-9.70084692,0.18066960,0.77669610
-9.69951292,0.18066960,0.78279980
-9.69817892,0.18066960,0.78585160
-9.69684492,0.18066960,0.78890350
-9.69551092,0.18066960,0.79348120
-9.69417692,0.18066960,0.79653310
-9.69284292,0.18066960,0.80111090
-9.69150892,0.18066960,0.80568860
-9.69017492,0.18066960,0.80874050
-9.68884092,0.18066960,0.81179240
-9.68750692,0.18066960,0.81789610
-9.68617292,0.18066960,0.82094790
-9.68483892,0.17761770,0.82399980
-9.68350492,0.17761770,0.82857750
-9.68217092,0.17761770,0.83010350
-9.68083692,0.17761770,0.83468130
-9.67950292,0.17761770,0.83925900
-9.67816892,0.17761770,0.84231080
-9.67683492,0.17761770,0.84536270
-9.67550092,0.17761770,0.84841460
-9.67416692,0.17761770,0.85299230
-9.67283292,0.18066960,0.85604420
-9.67149892,0.18066960,0.85909610
-9.67016492,0.18066960,0.86519970
-9.66883092,0.17761770,0.86825160
-9.66749692,0.17761770,0.87130340
-9.66616292,0.17761770,0.87588130
-9.66482892,0.17761770,0.87893310
-9.66349492,0.17761770,0.88198490
-9.66216092,0.17761770,0.88656270
-9.66082692,0.17761770,0.89114050
-9.65949292,0.17761770,0.89419230
-9.65815892,0.17761770,0.89877010
-9.65682492,0.17761770,0.90182190
-9.65549092,0.17761770,0.90487380
-9.65415692,0.17761770,0.90945160
-9.65282292,0.17761770,0.91250350
-9.65148892,0.17761770,0.91555530
-9.65015492,0.17761770,0.91860710
-9.64882092,0.17761770,0.92318490
-9.64748692,0.17761770,0.92623670
-9.64615292,0.17761770,0.92928860
-9.64481892,0.17761770,0.93386640
-9.64348492,0.17761770,0.93691830
-9.64215092,0.17761770,0.93997010
-9.64081692,0.17761770,0.94454790
-9.63948292,0.17761770,0.94759970
-9.63814892,0.17761770,0.95065150
-9.63681492,0.17761770,0.95370350
-9.63548092,0.17761770,0.95828120
-9.63414692,0.17761770,0.96133300
-9.63281292,0.17761770,0.96438490
-9.63147892,0.17761770,0.96896270
-9.63014492,0.17761770,0.97201450
-9.62881092,0.17761770,0.97506640
-9.62747692,0.17761770,0.97811820
-9.62614292,0.17761770,0.98269610
-9.62480892,0.17761770,0.98727380
-9.62347492,0.17761770,0.99185160
-9.62214092,0.17761770,0.99337750
-9.62080692,0.17761770,0.99642930
-9.61947292,0.17761770,0.99948110
-9.61813892,0.17761770,1.00405900
-9.61680492,0.17761770,1.00711100
-9.61547092,0.17761770,1.01016300
-9.61413692,0.17761770,1.01321400
-9.61280292,0.17761770,1.01626600
-9.61146892,0.17761770,1.01931800
-9.61013492,0.17761770,1.02237000
-9.60880092,0.17761770,1.02389600
-9.60746692,0.17761770,1.02847400
-9.60613292,0.17761770,1.03152600
-9.60479892,0.17761770,1.03457700
-9.60346492,0.17761770,1.03610300
-9.60213092,0.17761770,1.04220700
-9.60079692,0.17761770,1.04678500
-9.59946292,0.17761770,1.04831100
-9.59812892,0.17761770,1.05441500
-9.59679492,0.17761770,1.05899200
-9.59546092,0.17761770,1.06509600
-9.59412692,0.17761770,1.06814800
-9.59279292,0.17761770,1.07120000
-9.59145892,0.17761770,1.07577800
-9.59012492,0.17761770,1.07882900
-9.58879092,0.17761770,1.08188100
-9.58745692,0.17517620,1.08645900
-9.58612292,0.17517620,1.09103700
-9.58478892,0.17517620,1.09561500
-9.58345492,0.17517620,1.09866600
-9.58212092,0.17517620,1.10324400
-9.58078692,0.17517620,1.10934800
-9.57945292,0.17517620,1.11392600
-9.57811892,0.17517620,1.11697700
-9.57678492,0.17517620,1.12308100
-9.57545092,0.17517620,1.12613300
-9.57411692,0.17517620,1.12918500
-9.57278292,0.17517620,1.13376300
-9.57144892,0.17517620,1.13834000
-9.57011492,0.17517620,1.14444400
-9.56878092,0.17517620,1.14597000
-9.56744692,0.17517620,1.15054800
-9.56611292,0.17517620,1.15665100
-9.56477892,0.17517620,1.15970300
-9.56344492,0.17517620,1.16275500
-9.56211092,0.17517620,1.16580700
-9.56077692,0.17517620,1.17038500
-9.55944292,0.17517620,1.17343700
-9.55810892,0.17517620,1.17648900
-9.55677492,0.17517620,1.18259200
-9.55544092,0.17517620,1.18564400
