t[s],U_A,U_B
-9.71515757,0.26612140,1.82500700
-9.71382357,0.26612140,1.83111100
-9.71248957,0.26734220,1.83416200
-9.71115557,0.26734220,1.83874000
-9.70982157,0.26734220,1.84331800
-9.70848757,0.26886810,1.84637000
-9.70715357,0.27039400,1.84942200
-9.70581957,0.27161470,1.85552500
-9.70448557,0.27161470,1.85857700
-9.70315157,0.27314070,1.86162900
-9.70181757,0.27466660,1.86620700
-9.70048357,0.27466660,1.86925900
-9.69914957,0.27466660,1.87231100
-9.69781557,0.27588730,1.87688800
-9.69648157,0.27588730,1.88146600
-9.69514757,0.27588730,1.88451800
-9.69381357,0.27588730,1.89062200
-9.69247957,0.27588730,1.89367400
-9.69114557,0.27741320,1.89672500
-9.68981157,0.27893920,1.90130300
-9.68847757,0.27893920,1.90435500
-9.68714357,0.28015990,1.90740700
-9.68580957,0.28168580,1.91351100
-9.68447557,0.28168580,1.91656200
-9.68314157,0.28168580,1.91961400
-9.68180757,0.28168580,1.92571800
-9.68047357,0.28168580,1.92877000
-9.67913957,0.28168580,1.93487300
-9.67780557,0.28321180,1.93945100
-9.67647157,0.28321180,1.94402900
-9.67513757,0.28321180,1.94860700
-9.67380357,0.28321180,1.95165900
-9.67246957,0.28443250,1.95776200
-9.67113557,0.28443250,1.96234000
-9.66980157,0.28443250,1.96539200
-9.66846757,0.28595840,1.97149600
-9.66713357,0.28748430,1.97607400
-9.66579957,0.28870510,1.98217700
-9.66446557,0.29023100,1.98675500
-9.66313157,0.29175700,1.99285900
-9.66179757,0.29175700,1.99591100
-9.66046357,0.29297770,2.00048800
-9.65912957,0.29450360,2.00659200
-9.65779557,0.29450360,2.00964400
-9.65646157,0.29602950,2.01269600
-9.65512757,0.29450360,2.01727300
-9.65379357,0.29450360,2.02185100
-9.65245957,0.29450360,2.02795500
-9.65112557,0.29602950,2.03253300
-9.64979157,0.29725030,2.03863600
-9.64845757,0.29877620,2.04321400
-9.64712357,0.29877620,2.04779200
-9.64578957,0.29877620,2.05389600
-9.64445557,0.30030210,2.05847400
-9.64312157,0.30030210,2.06305100
