t[s],U_A,U_B
-9.52075692,0.34852140,2.07068100
-9.51942292,0.34852140,2.07678500
-9.51808892,0.34852140,2.08136200
-9.51675492,0.34852140,2.08746600
-9.51542092,0.34852140,2.09204400
-9.51408692,0.34852140,2.09662200
-9.51275292,0.35004730,2.10119900
-9.51141892,0.35004730,2.10577700
-9.51008492,0.35004730,2.11035500
-9.50875092,0.35004730,2.11493300
-9.50741692,0.35004730,2.11951000
-9.50608292,0.35126810,2.12256200
-9.50474892,0.35126810,2.12561400
-9.50341492,0.35279400,2.12866600
-9.50208092,0.35401470,2.13477000
-9.50074692,0.35401470,2.13782200
-9.49941292,0.35401470,2.14239900
-9.49807892,0.35554060,2.14545100
-9.49674492,0.35554060,2.14850300
-9.49541092,0.35706660,2.15155500
-9.49407692,0.35706660,2.15613300
-9.49274292,0.35706660,2.15918400
-9.49140892,0.35706660,2.16223600
-9.49007492,0.35706660,2.16681400
-9.48874092,0.35706660,2.17139200
-9.48740692,0.35706660,2.17444400
-9.48607292,0.35706660,2.17902200
-9.48473892,0.35828730,2.18359900
-9.48340492,0.35828730,2.18665100
-9.48207092,0.35828730,2.19122900
-9.48073692,0.35981320,2.19428100
-9.47940292,0.35981320,2.19733300
-9.47806892,0.35981320,2.20191000
-9.47673492,0.36133920,2.20496200
-9.47540092,0.36255990,2.20801400
-9.47406692,0.36408580,2.21259200
-9.47273292,0.36561170,2.21717000
-9.47139892,0.36561170,2.22022200
-9.47006492,0.36683250,2.22479900
-9.46873092,0.36835840,2.22785100
-9.46739692,0.36988430,2.23090300
-9.46606292,0.36988430,2.23548100
-9.46472892,0.37110510,2.23853300
-9.46339492,0.37110510,2.24158500
-9.46206092,0.37110510,2.24616200
-9.46072692,0.37110510,2.25074000
-9.45939292,0.37263100,2.25379200
-9.45805892,0.37415690,2.25837000
-9.45672492,0.37537770,2.26142100
-9.45539092,0.37690360,2.26447300
-9.45405692,0.37690360,2.26752500
-9.45272292,0.37842950,2.27210300
-9.45138892,0.37965030,2.27515500
-9.45005492,0.38117620,2.27820700
-9.44872092,0.38117620,2.28278400
-9.44738692,0.38270210,2.28583600
-9.44605292,0.38392280,2.28888800
-9.44471892,0.38544880,2.29346600
-9.44338492,0.38697470,2.29651800
-9.44205092,0.38819550,2.29957000
-9.44071692,0.38972140,2.30414700
-9.43938292,0.39124730,2.30719900
-9.43804892,0.39246800,2.31025100
-9.43671492,0.39399390,2.31330300
-9.43538092,0.39551990,2.31788100
-9.43404692,0.39674060,2.32093300
-9.43271292,0.39826660,2.32398500
-9.43137892,0.39948730,2.32856200
-9.43004492,0.40101320,2.33161400
-9.42871092,0.40253910,2.33466600
-9.42737692,0.40375990,2.33924400
-9.42604292,0.40528580,2.34229600
-9.42470892,0.40681170,2.34534700
-9.42337492,0.40803250,2.35145100
-9.42204092,0.40955840,2.35450300
-9.42070692,0.40955840,2.35755500
-9.41937292,0.41108430,2.36213300
-9.41803892,0.41108430,2.36518400
-9.41670492,0.41108430,2.36823600
-9.41537092,0.41230510,2.37128800
-9.41403692,0.41383100,2.37586600
-9.41270292,0.41383100,2.37891800
-9.41136892,0.41535690,2.38502100
-9.41003492,0.41535690,2.38807300
-9.40870092,0.41657770,2.39265100
-9.40736692,0.41810360,2.39875500
-9.40603292,0.41962950,2.40180700
-9.40469892,0.42085020,2.40485900
-9.40336492,0.42237620,2.41096200
-9.40203092,0.42390210,2.41401400
-9.40069692,0.42512280,2.42011800
-9.39936292,0.42512280,2.42469600
-9.39802892,0.42664880,2.42774700
-9.39669492,0.42817470,2.43232500
-9.39536092,0.42817470,2.43537700
-9.39402692,0.42939540,2.43995500
-9.39269292,0.43092130,2.44453300
-9.39135892,0.43092130,2.44911100
-9.39002492,0.43092130,2.45216200
-9.38869092,0.43092130,2.45826600
-9.38735692,0.43092130,2.46131800
-9.38602292,0.43244730,2.46742200
-9.38468892,0.43244730,2.47199900
-9.38335492,0.43244730,2.47810300
-9.38202092,0.43244730,2.48115500
-9.38068692,0.43366800,2.48268100
-9.37935292,0.43366800,2.48878500
-9.37801892,0.43671990,2.49336200
-9.37668492,0.43794060,2.49794000
-9.37535092,0.43946650,2.50404400
-9.37401692,0.43946650,2.50709600
-9.37268292,0.43946650,2.51319900
-9.37134892,0.43946650,2.51625100
-9.37001492,0.44099250,2.52082900
-9.36868092,0.44221320,2.52693300
-9.36734692,0.44221320,2.52998400
-9.36601292,0.44221320,2.53303600
-9.36467892,0.44373910,2.53608800
-9.36334492,0.44495990,2.53914000
-9.36201092,0.44495990,2.54371800
-9.36067692,0.44495990,2.54829500
-9.35934292,0.44495990,2.55134700
-9.35800892,0.44495990,2.55439900
-9.35667492,0.44495990,2.56050300
-9.35534092,0.44495990,2.56355500
-9.35400692,0.44648580,2.56965900
-9.35267292,0.44801170,2.57271000
-9.35133892,0.44801170,2.57728800
-9.35000492,0.44801170,2.58339200
-9.34867092,0.44923250,2.58644400
-9.34733692,0.44923250,2.59254700
-9.34600292,0.44923250,2.59712500
-9.34466892,0.44923250,2.60170300
-9.34333492,0.44923250,2.60628100
-9.34200092,0.44923250,2.61085800
-9.34066692,0.44923250,2.61696200
-9.33933292,0.44923250,2.62154000
-9.33799892,0.44923250,2.62459200
-9.33666492,0.44923250,2.63069500
-9.33533092,0.45075840,2.63374800
-9.33399692,0.45228430,2.63679900
-9.33266292,0.45350500,2.64290300
-9.33132892,0.45503100,2.64595500
-9.32999492,0.45655690,2.65053200
-9.32866092,0.45777760,2.65358400
-9.32732692,0.45930360,2.65663600
-9.32599292,0.46082950,2.65968800
-9.32465892,0.46082950,2.66426600
-9.32332492,0.46082950,2.66731800
-9.32199092,0.46082950,2.67036900
-9.32065692,0.46205020,2.67647300
-9.31932292,0.46205020,2.68105100
-9.31798892,0.46357620,2.68562900
-9.31665492,0.46510210,2.68868100
-9.31532092,0.46632280,2.69173300
-9.31398692,0.46632280,2.69631000
-9.31265292,0.46784870,2.69936200
-9.31131892,0.46937470,2.70241400
-9.30998492,0.47059540,2.70546600
-9.30865092,0.47212130,2.71157000
-9.30731692,0.47364730,2.71462200
-9.30598292,0.47486800,2.71767300
-9.30464892,0.47639390,2.72225100
-9.30331492,0.47791980,2.72530300
-9.30198092,0.47914060,2.72835500
-9.30064692,0.48066650,2.73293300
-9.29931292,0.48219250,2.73598400
-9.29797892,0.48341320,2.73903600
-9.29664492,0.48493910,2.74361400
-9.29531092,0.48646500,2.74666600
-9.29397692,0.48768580,2.74971800
-9.29264292,0.48768580,2.75429500
-9.29130892,0.48921170,2.75734700
-9.28997491,0.49043240,2.76039900
-9.28864091,0.49195840,2.76345100
-9.28730691,0.49348430,2.76802900
-9.28597291,0.49470510,2.77260700
-9.28463891,0.49470510,2.77718400
-9.28330491,0.49623100,2.78023600
-9.28197091,0.49775690,2.78328800
-9.28063691,0.49897760,2.78634000
-9.27930291,0.49897760,2.79091800
-9.27796891,0.50050350,2.79549600
-9.27663491,0.50202950,2.79854800
-9.27530091,0.50325020,2.80312500
-9.27396691,0.50325020,2.80617700
-9.27263291,0.50477610,2.81228100
-9.27129891,0.50630210,2.81533200
-9.26996491,0.50752280,2.81838400
-9.26863091,0.50752280,2.81991000
-9.26729691,0.50752280,2.82448800
-9.26596291,0.50904880,2.82754000
-9.26462891,0.51057460,2.83059200
-9.26329491,0.51057460,2.83516900
-9.26196091,0.51179540,2.83822200
-9.26062691,0.51332130,2.83974700
-9.25929291,0.51484730,2.84279900
-9.25795891,0.51606800,2.84432500
-9.25662491,0.51759390,2.84890300
-9.25529091,0.51911990,2.85348100
-9.25395691,0.52034060,2.85500600
-9.25262291,0.52186650,2.86111000
-9.25128891,0.52339240,2.86416200
-9.24995491,0.52339240,2.87026600
-9.24862091,0.52339240,2.87484400
-9.24728691,0.52339240,2.87942100
-9.24595291,0.52339240,2.88399900
-9.24461891,0.52339240,2.88857700
-9.24328491,0.52339240,2.89315500
-9.24195091,0.52339240,2.89773200
-9.24061691,0.52339240,2.90231000
-9.23928291,0.52461320,2.90841400
-9.23794891,0.52613910,2.91146600
-9.23661491,0.52766500,2.91604400
-9.23528091,0.52766500,2.91757000
-9.23394691,0.52888580,2.91909600
-9.23261291,0.52888580,2.92367300
-9.23127891,0.52888580,2.92519900
-9.22994491,0.52888580,2.92977700
-9.22861091,0.53041170,2.93130300
